abbot	<dt>:the superior of a monastery for men</dt>
haul	<dt>:to exert traction on :<sx>draw</sx> <vi><it>haul</it> a wagon</vi></dt>  <dt>:to obtain or move by or as if by <fw>hauling</fw> <vi>was <it>haul</it><it>ed</it> to parties night after night by his wife</vi></dt>  <dt>:to transport in a vehicle :<sx>cart</sx></dt> <dt>:to change the course of (a ship) especially so as to sail closer to the wind</dt> <dt>:to bring before an authority for interrogation or judgment :<sx>hale</sx> <vi><it>haul</it> traffic violators into court</vi></dt><dt>:to exert traction :<sx>pull</sx></dt> <dt>:to move along :<sx>proceed</sx></dt> <dt>:to furnish transportation</dt> <dt>:<sx>shift</sx></dt><dt>:to move quickly</dt>
haw	<dt>:a hawthorn berry</dt> <dt>:<sx>hawthorn</sx></dt>
hazel	<dt>:any of a genus (<it>Corylus</it> and especially the American <it>C. americana</it> and the European <it>C. avellana</it>) of shrubs or small trees of the birch family bearing nuts enclosed in a leafy involucre</dt> <dt>:a light brown to strong yellowish brown</dt>
hearth	<dt>:a brick, stone, or concrete area in front of a fireplace</dt>  <dt>:the floor of a fireplace</dt> <dt>:<sx>fireplace</sx></dt>  <dt>:the lowest section of a furnace</dt> <dt>:the section of a furnace on which the ore or metal is exposed to the flame or heat</dt> <dt>:<sx>home</sx></dt> <dt>:a vital or creative center <vi>the central <it>hearth</it> of occidental civilization <aq>A. L. Kroeber</aq></vi></dt>
heath	<dt>:a tract of wasteland</dt>  <dt>:an extensive area of rather level open uncultivated land usually with poor coarse soil, inferior drainage, and a surface rich in peat or peaty humus</dt> <dt>:any of a family (Ericaceae, the heath family) of shrubby dicotyledonous and often evergreen plants that thrive on open barren usually acid and ill-drained soil</dt> <dt>:an evergreen subshrub of either of two genera (<it>Erica</it> and <it>Calluna</it>) with whorls of needlelike leaves and clusters of small flowers</dt>  <dt>:any of various plants that resemble true <fw>heaths</fw></dt>
heedless	<dt>:not taking heed :<sx>inconsiderate</sx> <sx>thoughtless</sx> <vi><it>heedless</it> follies of unbridled youth <aq>John DeBruyn</aq></vi></dt>
hefted	<dt>:to heave up :<sx>hoist</sx></dt> <dt>:to test the weight of by lifting <vi><it>heft</it><it>ing</it> the rod &#8230; to get the feel of it <aq><it>Consumer Reports</it></aq></vi></dt>
hem	<dt>:a border of a cloth article doubled back and stitched down</dt> <dt>:<sx>rim</sx> <sx>margin</sx> <vi>bright green <it>hem</it> of reeds about the ponds <aq>R. M. Lockley</aq></vi></dt>
hermitage	<dt>:a red or white Rhone valley wine</dt>
hickory	<dt>:any of a genus (<it>Carya</it>) of North American hardwood trees of the walnut family that often have sweet edible nuts</dt>  <dt>:the usually tough wood of a hickory</dt> <dt>:a switch or cane (as of hickory wood) used especially for punishing a child</dt>
hilt	<dt>:a handle especially of a sword or dagger</dt><dt>:to the very limit :<sx>completely</sx> <vi>the farm was mortgaged <it>to the hilt</it></vi></dt> <dt>:with nothing lacking <vi>played the role <it>to the hilt</it></vi></dt>
hind	<dt>:the female of the red deer <dx>compare <dxt>hart</dxt></dx></dt> <dt>:any of various spotted groupers (especially genus <it>Epinephelus</it>)</dt>
his	<dt>:of or relating to him or himself especially as possessor, agent, or object of an action <vi><it>his</it> house</vi> <vi><it>his</it> writings</vi> <vi><it>his</it> confirmation</vi> <dx>compare <dxt>he</dxt></dx></dt>
histrionic	<dt>:deliberately affected :<sx>theatrical</sx></dt> <dt>:of or relating to actors, acting, or the theater</dt>
hobble	<dt>:to move along unsteadily or with difficulty</dt> <dt>:to limp along</dt><dt>:to cause to limp :make lame :<sx>cripple</sx></dt> <dt>:to fasten together the legs of (as a horse) to prevent straying :<sx>fetter</sx></dt>  <dt>:to place under handicap :<sx>hamper</sx> <sx>impede</sx></dt>
hollow	<dt>:an unfilled space :<sx>cavity</sx> <sx>hole</sx></dt> <dt>:a depressed or low part of a surface</dt> <dt>:a small valley or basin</dt>
hurling	<dt>:an Irish game resembling field hockey played between two teams of 15 players each</dt>
impetuous	<dt>:marked by impulsive <d_link>vehemence</d_link> or passion <vi>an <it>impetuous</it> temperament</vi></dt> <dt>:marked by force and violence of movement or action <vi>an <it>impetuous</it> wind</vi></dt>
incongruity	<dt>:the quality or state of being <fw>incongruous</fw></dt> <dt>:something that is incongruous</dt>
incongruous	<dt> :lacking congruity: as</dt>  <dt>:not <d_link>harmonious</d_link> :<sx>incompatible</sx> <vi><it>incongruous</it> colors</vi></dt>  <dt>:not <d_link>conforming</d_link> :<sx>disagreeing</sx> <vi>conduct <it>incongruous</it> with principle</vi></dt>  <dt>:<fw>inconsistent</fw> within itself <vi>an <it>incongruous</it> story</vi></dt>  <dt>:lacking <d_link>propriety</d_link> :<sx>unsuitable</sx> <vi><it>incongruous</it> manners</vi> </dt>
indulgent	<dt>:<fw>indulging</fw> or characterized by <fw>indulgence</fw></dt> <dt>:<sx>lenient</sx></dt>
ingress	<dt>:the act of entering :<sx>entrance</sx> <vi>the seal prevents <it>ingress</it> of moisture</vi></dt> <dt>:the power or liberty of entrance or access <vi>an area with restricted <it>ingress</it></vi></dt>
interment	<dt>:the act or ceremony of <fw>interring</fw></dt>
internecine	<dt>:marked by slaughter :<sx>deadly</sx></dt> <dt>:mutually destructive</dt> <dt>:of, relating to, or involving conflict within a group <vi>bitter <it>internecine</it> feuds</vi></dt>
interred	
invective	<dt>:of, relating to, or characterized by insult or abuse</dt>
iota	<dt>:the 9th letter of the Greek alphabet <dx>see <dxt>alphabet <dxn>table</dxn></dxt></dx></dt> <dt>:an infinitesimal amount :<sx>jot</sx> <vi>did not show an <it>iota</it> of interest</vi></dt>
jab	<dt>:to pierce with or as if with a sharp object :<sx>stab</sx></dt>  <dt>:to poke quickly or abruptly :<sx>thrust</sx></dt> <dt>:to strike with a short straight blow</dt><dt>:to make quick or abrupt thrusts with a sharp object</dt> <dt>:to strike a person with a short straight blow</dt>
jauntily	<dt>:<sx>stylish</sx></dt>  <dt>:<sx>genteel</sx></dt> <dt>:sprightly in manner or appearance :<sx>lively</sx> <vi>sporting a <it>jaunty</it> red beret</vi> <vi>a <it>jaunty</it> stroll</vi></dt>
jostle	<dt>:to come in contact or into collision</dt>  <dt>:to make one's way by pushing and shoving <vi><it>jostling</it> toward the exit</vi></dt>  <dt>:to exist in close proximity</dt> <dt>:to vie in gaining an objective :<sx>contend</sx> <vi><it>jostled</it> to get a glimpse of the celebrity</vi></dt><dt>:to come in contact or into collision with</dt>  <dt>:to force by pushing :<sx>elbow</sx></dt>  <dt>:to stir up :<sx>agitate</sx> <vi>thunder <it>jostled</it> us awake</vi></dt>  <dt>:to exist in close proximity with</dt> <dt>:to vie with in attaining an objective</dt>
jumble	<dt>:to move in a confused or disordered manner</dt><dt>:to mix into a confused or disordered mass <un>often used with <it>up</it></un></dt>
juniper	<dt>:any of numerous shrubs or trees (genus <it>Juniperus</it>) of the cypress family with leaves resembling needles or scales and female cones usually resembling berries</dt>  <dt>:the berrylike cone or fruit of a juniper</dt> <dt>:the bluish one of a common juniper (<it>J. communis</it>) which is used to flavor foods and from which is obtained an acrid essential oil used especially as a flavoring in gin and liqueurs <ca>called also <cat>juniper berry</cat></ca></dt> <dt>:any of several coniferous trees resembling true <fw>junipers</fw></dt>
jut	<dt>:to extend out, up, or forward :<sx>project</sx> <vi>mountains <it>jutting</it> into the sky</vi> <vi>a <it>jutting</it> jaw</vi></dt><dt>:to cause to project</dt>
kikimora	
kipper	<dt>:a male salmon or sea trout during or after the spawning season</dt> <dt>:a <fw>kippered</fw> herring or salmon</dt>
knacker	<dt>:a buyer of worn-out domestic animals or their carcasses for use especially as animal food or fertilizer</dt> <dt>:a buyer of old structures for their constituent materials</dt>
knackered	<dt>:<sx>tired</sx> <sx>exhausted</sx></dt>
knead	<dt>:to work and press into a mass with or as if with the hands <vi><it>knead</it><it>ing</it> dough</vi></dt>  <dt>:to manipulate or massage with a <fw>kneading</fw> motion <vi><it>knead</it><it>ed</it> sore neck muscles</vi></dt> <dt>:to form or shape by or as if by kneading</dt>
kobolds	<dt>:a gnome that in German folklore inhabits underground places</dt> <dt>:an often mischievous domestic spirit of German folklore</dt>
lace	<dt>:to draw together the edges of by or as if by a lace passed through eyelets <vi><it>lace</it><it>s</it> her fingers behind her head</vi></dt> <dt>:to draw or pass (as a lace) through something (as eyelets)</dt> <dt>:to confine or compress by tightening <fw>laces</fw> of a garment</dt> <dt>:to adorn with or as if with lace <vi>the surrounding countryside was <it>laced</it> with villages and hamlets <aq>L. C. Heinemann</aq></vi></dt>  <dt>:to mark with streaks of color</dt> <dt>:<sx>beat</sx> <sx>lash</sx></dt> <dt>:to add a dash of liquor to</dt>  <dt>:to add something to impart pungency, savor, or zest to <vi>a sauce <it>laced</it> with garlic</vi> <vi>conversation <it>laced</it> with sarcasm</vi></dt>  <dt>:to adulterate with a substance <vi><it>laced</it> a guard's coffee with a sedative</vi></dt><dt>:to admit of being tied or fastened with a lace</dt> <dt>:to make a verbal attack <un>usually used with <it>into</it> <vi>his boss <it>laced</it> into him for being late</vi></un></dt>
lackluster	<dt>:<fw>lacking</fw> in sheen, brilliance, or vitality :<sx>dull</sx> <sx>mediocre</sx></dt>
lacklustre	
lacquer	<dt>:a spirit varnish (as shellac)</dt>  <dt>:any of various durable natural varnishes</dt> <dt>:a varnish obtained from an Asian sumac (<it>Rhus verniciflua</it>) <ca>called also <cat>Japanese lacquer</cat></ca></dt> <dt>:any of various clear or colored synthetic organic coatings that typically dry to form a film by evaporation of the solvent</dt> <dt>:a solution of a cellulose derivative (as nitrocellulose)</dt>
lacquered	<dt>:to coat with or as if with lacquer</dt> <dt>:to give a smooth finish or appearance to :make glossy <vi><it>lacquer</it><it>ed</it> her hair</vi></dt>
ladle	<dt>:a deep-bowled long-handled spoon used especially for dipping up and conveying liquids</dt> <dt>:something resembling a ladle in form or function</dt>
languid	<dt>:drooping or flagging from or as if from exhaustion :<sx>weak</sx></dt> <dt>:sluggish in character or disposition :<sx>listless</sx></dt> <dt>:lacking force or quickness of movement :<sx>slow</sx></dt>
lank	<dt>:not well filled out :<sx>slender</sx> <sx>thin</sx> <vi><it>lank</it> cattle</vi></dt> <dt>:insufficient in quantity, degree, or extent</dt> <dt>:hanging straight and limp without spring or curl</dt>
lanky	<dt>:ungracefully tall and thin</dt>
lapels	<dt>:the part of a garment that is turned back</dt> <dt>:the fold of the front of a coat that is usually a continuation of the collar</dt>
lapis	<dt>:a semiprecious stone that is usually rich azure blue and is essentially a complex silicate often with spangles of pyrites <ca>called also <cat>lapis</cat></ca></dt>
larcenous	<dt>:having the character of or constituting <fw>larceny</fw></dt> <dt>:committing larceny</dt>
larceny	<dt>:the unlawful taking of personal property with intent to deprive the rightful owner of it permanently</dt>
lather	<dt>:a foam or froth formed when a detergent (as soap) is agitated in water</dt>  <dt>:foam or froth from profuse sweating (as on a horse)</dt> <dt>:an agitated or overwrought state :<sx>dither</sx> <vi>worked himself into a <it>lather</it></vi></dt>
latticework	<dt>:a <fw>lattice</fw> or work made of <fw>lattices</fw></dt>
leer	<dt>:to cast a sidelong glance</dt> <dt>:to give a leer</dt>
leery	<dt>:<sx>suspicious</sx> <sx>wary</sx> <un>often used with <it>of</it> <vi><it>leery</it> of strangers</vi></un></dt>
legerdemain	<dt>:<sx>sleight of hand</sx></dt> <dt>:a display of skill or adroitness</dt>
lenient	<dt>:exerting a soothing or easing influence :relieving pain or stress</dt> <dt>:of mild and tolerant <d_link>disposition</d_link></dt> <dt>:<sx>indulgent</sx></dt>
leshy	
levies	<dt>:the imposition or collection of an assessment</dt>  <dt>:an amount levied</dt> <dt>:the enlistment or conscription of men for military service</dt>  <dt>:troops raised by levy</dt>
libidinal	<dt>:of or relating to the <fw>libido</fw> <vi><it>libidinal</it> impulses</vi></dt>
lintel	<dt>:a horizontal architectural member spanning and usually carrying the load above an opening</dt>
lisp	<dt>:a computer programming language that is designed for easy manipulation of data strings and is used extensively for work in artificial intelligence</dt>
lithe	<dt>:easily bent or flexed <vi><it>lithe</it> steel</vi> <vi>a <it>lithe</it> vine</vi></dt> <dt>:characterized by easy flexibility and grace <vi>a <it>lithe</it> dancer</vi> <vi>treading with a <it>lithe</it> silent step</vi></dt> <dt>:athletically slim <vi>the most <it>lithe</it> and graspable of waists <aq>R. P. Warren</aq></vi></dt>
liveried	<dt>:wearing a <fw>livery</fw> <vi>a <it>liveried</it> chauffeur</vi></dt>
loci	
loins	<dt>:the part of a human being or quadruped on each side of the spinal column between the hipbone and the false ribs</dt>  <dt>:a cut of meat comprising this part of one or both sides of a carcass with the adjoining half of the vertebrae included but without the flank</dt> <dt>:the upper and lower abdominal regions and the region about the hips</dt>  <dt>:the pubic region</dt>  <dt>:the reproductive organs</dt>
loom	<dt>:a frame or machine for interlacing at right angles two or more sets of threads or yarns to form a cloth</dt>
lopsided	<dt>:leaning to one side</dt> <dt>:lacking in balance, symmetry, or proportion :disproportionately heavy on one side <vi>a <it>lopsided</it> vote of 99&#8211;1</vi></dt>
louse	<dt>:any of various small wingless usually flattened insects (orders Anoplura and Mallophaga) parasitic on warm-blooded animals</dt>  <dt>:a small usually sluggish arthropod (as a biting louse) that lives on other animals or on plants and sucks their blood or juices</dt>  <dt>:any of several small arthropods (as a book louse) that are not parasitic</dt> <dt>:a contemptible person :<sx>heel</sx></dt>
lukewarm	<dt>:moderately warm :<sx>tepid</sx></dt> <dt>:lacking conviction :<sx>halfhearted</sx> <vi>gave them only <it>lukewarm</it> support</vi></dt>
lunge	<dt>:a quick thrust or jab (as of a sword) usually made by leaning or striding forward</dt> <dt>:a sudden forward rush or reach <vi>made a <it>lunge</it> to catch the ball</vi></dt>
lurid	<dt>:causing horror or revulsion :<sx>gruesome</sx></dt>  <dt>:<sx>melodramatic</sx> <sx>sensational</sx></dt> <dt>:<sx>shocking</sx> <vi>paperbacks in the usual <it>lurid</it> covers <aq>T. R. Fyvel</aq></vi></dt> <dt>:wan and ghastly pale in appearance</dt>  <dt>:of any of several light or medium grayish colors ranging in hue from yellow to orange</dt> <dt>:shining with the red glow of fire seen through smoke or cloud</dt>
lynchpin	
mandala	<dt>:a Hindu or Buddhist graphic symbol of the universe</dt> <dt>:a circle enclosing a square with a deity on each side that is used chiefly as an aid to meditation</dt> <dt>:a graphic and often symbolic pattern usually in the form of a circle divided into four separate sections or bearing a multiple projection of an image</dt>
Marrow	<dt>:<sx>bone marrow</sx></dt>  <dt>:the substance of the spinal cord</dt> <dt>:the choicest of food</dt>  <dt>:the seat of animal vigor</dt>  <dt>:the inmost, best, or essential part :<sx>core</sx> <vi>personal liberty is the <it>marrow</it> of the American tradition <aq>Clinton Rossiter</aq></vi></dt> <dt>:<sx>vegetable marrow</sx></dt>
maw	<dt> :the receptacle into which food is taken by swallowing:</dt>  <dt>:<sx>stomach</sx></dt>  <dt>:<sx>crop</sx> </dt> <dt>:the throat, gullet, or jaws especially of a voracious animal</dt>  <dt>:something suggestive of a gaping maw</dt>
mawkish	<dt>:having an insipid often unpleasant taste</dt> <dt>:sickly or puerilely sentimental</dt>
meagre	<dt>:having little flesh :<sx>thin</sx></dt> <dt>:lacking desirable qualities (as richness or strength) <vi>leading a <it>meager</it> life</vi></dt>  <dt>:deficient in quality or quantity <vi>a <it>meager</it> diet</vi></dt>
mesquite	<dt>:any of several spiny leguminous trees or shrubs (genus <it>Prosopis</it> and especially <it>P. glandulosa</it>) chiefly of the southwestern United States that often form extensive thickets and have sweet pods eaten by livestock</dt> <dt>:the wood of the mesquite used especially in grilling food</dt>
mildew	<dt>:a superficial usually whitish growth produced especially on organic matter or living plants by fungi (as of the families Erysiphaceae and Peronosporaceae)</dt>  <dt>:a fungus producing mildew</dt> <dt>:a discoloration caused by fungi</dt>
mine	<dt>:<sx>my</sx> <un>used before a word beginning with a vowel or <it>h</it> <vi>this treasure in <it>mine</it> arms <aq>Shakespeare</aq></vi> or sometimes as a modifier of a preceding noun</un> <un>archaic except in an elevated style</un></dt>
mirth	<dt>:gladness or gaiety as shown by or accompanied with laughter</dt>
misandry	<dt>:a hatred of men</dt>
mistake	<dt>:to blunder in the choice of <vi><it>mistook</it> her way in the dark</vi></dt> <dt>:to misunderstand the meaning or intention of :<sx>misinterpret</sx> <vi>don't <it>mistake</it> me, I mean exactly what I said</vi></dt>  <dt>:to make a wrong judgment of the character or ability of</dt> <dt>:to identify wrongly :confuse with another <vi>I <it>mistook</it> him for his brother</vi></dt><dt>:to be wrong <vi>you <it>mistook</it> when you thought I laughed at you <aq>Thomas Hardy</aq></vi></dt>
mongrel	<dt>:an individual resulting from the interbreeding of diverse breeds or strains</dt> <dt>:one of unknown ancestry</dt> <dt>:a cross between types of persons or things</dt>
monomaniacal	<dt>:mental illness especially when limited in expression to one idea or area of thought</dt> <dt>:excessive concentration on a single object or idea</dt>
monstrance	<dt>:a vessel in which the consecrated Host is exposed for the adoration of the faithful</dt>
moola	<dt>:<sx>money</sx></dt>
mooring	<dt>:an act of making fast a boat or aircraft with lines or anchors</dt> <dt>:a place where or an object to which something (as a craft) can be <fw>moored</fw></dt>  <dt>:a device (as a line or chain) by which an object is secured in place</dt> <dt>:an established practice or stabilizing influence :<sx>anchorage <sxn>2</sxn></sx> <un>usually used in plural</un></dt>
moot	<dt>:a deliberative assembly primarily for the administration of justice</dt> <dt>:one held by the <d_link>freemen</d_link> of an <d_link>Anglo-Saxon</d_link> community</dt> <dt>:<sx>argument</sx> <sx>discussion</sx></dt>
mope	<dt>:to act in a dazed or stupid manner</dt> <dt>:to give oneself up to brooding :become listless or dejected</dt> <dt>:to move slowly or aimlessly :<sx>dawdle</sx></dt>
morsels	<dt>:a small piece of food :<sx>bite</sx></dt> <dt>:a small quantity :<sx>fragment</sx></dt> <dt>:a tasty dish</dt>  <dt>:something delectable and pleasing</dt> <dt>:a negligible person</dt>
motile	<dt>:exhibiting or capable of movement</dt>
mottle	<dt>:a colored spot</dt> <dt>:a surface having colored spots or blotches</dt>  <dt>:the arrangement of such spots or blotches on a surface</dt> <dt>:<sx>mosaic <sxn>5</sxn></sx></dt>
muzzle	<dt>:the projecting jaws and nose of an animal :<sx>snout</sx></dt> <dt>:a fastening or covering for the mouth of an animal used to prevent eating or biting</dt>  <dt>:something (as censorship) that restrains normal expression</dt> <dt>:the open end of an implement</dt> <dt>:the discharging end of a weapon</dt>
nettled	<dt>:to strike or sting with or as if with <fw>nettles</fw></dt> <dt>:to arouse to sharp but transitory annoyance or anger</dt>
niggle	<dt>:<sx>trifle</sx></dt>  <dt>:to spend too much effort on minor details</dt> <dt>:to find fault constantly in a petty way :<sx>carp</sx> <vi>she haggles, she <it>niggle</it><it>s,</it> she wears out our patience <aq>Virginia Woolf</aq></vi></dt> <dt>:<sx>gnaw</sx></dt><dt>:to give stingily or in tiny portions</dt>
nock	<dt>:one of the notches cut in either of two tips of horn fastened on the ends of a bow or in the bow itself for holding the string</dt> <dt>:the part of an arrow having a notch for the bowstring</dt>  <dt>:the notch itself</dt>
nonplus	<dt>:a state of bafflement or perplexity :<sx>quandary</sx></dt>
nooky	<dt>:the female partner in sexual intercourse</dt> <dt>:<sx>sexual intercourse</sx></dt>
oaf	<dt>:a stupid person :<sx>boob</sx></dt> <dt>:a big clumsy slow-witted person</dt>
oblong	<dt>:deviating from a square, circular, or spherical form by elongation in one dimension <vi>an <it>oblong</it> piece of paper</vi> <vi>an <it>oblong</it> melon</vi></dt>
obsequiously	<dt>:marked by or exhibiting a <d_link>fawning</d_link> attentiveness</dt>
obsolescent	<dt>:going out of use :becoming <fw>obsolete</fw></dt>
offal	<dt> :the waste or by-product of a process: as</dt>  <dt>:trimmings of a hide</dt>  <dt>:the by-products of milling used especially for stock feeds</dt>  <dt>:the viscera and trimmings of a butchered animal removed in dressing :<sx>variety meat</sx> </dt> <dt>:<sx>rubbish</sx></dt>
ornithologist	<dt>:a treatise on ornithology</dt> <dt>:a branch of zoology dealing with birds</dt>
outré	<dt>:violating convention or propriety :<sx>bizarre</sx></dt>
palatable	<dt>:agreeable to the <fw>palate</fw> or taste</dt> <dt>:agreeable or acceptable to the mind</dt>
pall	<dt>:to lose strength or effectiveness</dt> <dt>:to lose in interest or attraction <vi>his humor began to <it>pall</it> on us</vi></dt> <dt>:<sx>dwindle</sx> <vi>our enthusiasm soon <it>pall</it><it>ed</it></vi></dt><dt>:to cause to become insipid</dt> <dt>:to deprive of pleasure in something by satiating</dt>
pallbearer	<dt>:a person who helps to carry the coffin at a funeral</dt> <dt>:a member of the escort or honor guard of the coffin who does not actually help to carry it</dt>
palsy	<dt>:<sx>paralysis</sx></dt> <dt>:a condition marked by uncontrollable tremor of the body or a part</dt>
pander	<dt>:to act as a pander</dt> <dt>:to provide gratification for others' desires <vi>films that <it>pander</it> to the basest emotions</vi></dt>
pang	<dt>:a brief piercing spasm of pain</dt> <dt>:a sharp attack of mental anguish <vi><it>pang</it><it>s</it> of remorse</vi></dt>
panoply	<dt>:a full suit of armor</dt>  <dt>:ceremonial attire</dt> <dt>:something forming a protective covering</dt> <dt>:a magnificent or impressive array <vi>the full <it>panoply</it> of a military funeral</vi></dt>  <dt>:a display of all appropriate appurtenances <vi>no need for the <it>panoply</it> of power</vi></dt>
panto	<dt>:<sx>pantomime <sxn>2c</sxn></sx></dt>
pantry	<dt>:a room or closet used for storage (as of provisions) or from which food is brought to the table</dt> <dt>:a room (as in a hotel or hospital) for preparation of foods on order</dt>
pap	<dt>:<sx>nipple</sx> <sx>teat</sx></dt> <dt>:something shaped like a nipple</dt>
paraplegic	<dt>:<fw>paralysis</fw> of the lower half of the body with involvement of both legs</dt>
parlance	<dt>:<sx>speech</sx></dt> <dt>:formal debate or <fw>parley</fw></dt> <dt>:manner or mode of speech :<sx>idiom</sx></dt>
partisan	<dt>:a firm adherent to a <fw>party</fw>, faction, cause, or person</dt> <dt>:one exhibiting blind, prejudiced, and unreasoning allegiance</dt> <dt>:a member of a body of detached light troops making forays and harassing an enemy</dt>  <dt>:a member of a guerrilla band operating within enemy lines</dt>
partridge	<dt>:any of various typically medium-sized stout-bodied Old World gallinaceous birds (<it>Perdix, Alectoris,</it> and related genera) with variegated plumage that are often hunted as game</dt> <dt>:any of various related birds (as the American ruffed grouse or bobwhite) resembling the Old World <fw>partridges</fw> in size, habits, or value as game</dt>
pate	<dt>:<sx>head</sx></dt> <dt>:the crown of the head</dt> <dt>:<sx>brain</sx></dt>
peat	<dt>:<sx>turf <sxn>2b</sxn></sx></dt> <dt>:partially carbonized vegetable tissue formed by partial decomposition in water of various plants (as mosses of the genus <it>Sphagnum</it>)</dt>
pelt	<dt>:a usually undressed skin with its hair, wool, or fur</dt> <dt>:a skin stripped of hair or wool for tanning</dt>
pelting	<dt>:<sx>paltry</sx> <sx>insignificant</sx></dt>
penitent	<dt>:feeling or expressing humble or regretful pain or sorrow for sins or offenses :<sx>repentant</sx></dt>
pennant	<dt>:any of various nautical flags tapering usually to a point or swallowtail and used for identification or signaling</dt>  <dt>:a flag or banner longer in the fly than in the hoist</dt> <dt>:one that tapers to a point</dt> <dt>:a flag emblematic of championship (as in a professional baseball league)</dt> <dt>:the championship itself</dt>
pep	<dt>:brisk energy or initiative and high spirits</dt>
percolate	<dt>:to cause (a solvent) to pass through a permeable substance (as a powdered drug) especially for extracting a soluble constituent</dt>  <dt>:to prepare (coffee) in a <fw>percolator</fw></dt> <dt>:to be diffused through :<sx>penetrate</sx></dt><dt>:to ooze or trickle through a permeable substance :<sx>seep</sx></dt> <dt>:to become <fw>percolated</fw></dt>  <dt>:to become lively or effervescent</dt> <dt>:to spread gradually <vi>allow the sunlight to <it>percolate</it> into our rooms <aq>Norman Douglas</aq></vi></dt> <dt>:<sx>simmer <sxn>2a</sxn></sx> <vi>the feud had been <it>percolating</it> for a long time</vi></dt>
peremptory	<dt>:putting an end to or precluding a right of action, debate, or delay</dt> <dt>:not providing an opportunity to show cause why one should not comply <vi>a <it>peremptory</it> mandamus</vi></dt>  <dt>:admitting of no contradiction</dt> <dt>:expressive of urgency or command <vi>a <it>peremptory</it> call</vi></dt> <dt>:characterized by often imperious or arrogant self-assurance <vi>how insolent of late he is become, how proud, how <it>peremptory</it> <aq>Shakespeare</aq></vi></dt>  <dt>:indicative of a peremptory attitude or nature :<sx>haughty</sx> <vi>a <it>peremptory</it> tone</vi> <vi><it>peremptory</it> disregard of an objection</vi></dt>
perfunctory	<dt>:characterized by <d_link>routine</d_link> or superficiality :<sx>mechanical</sx> <vi>a <it>perfunctory</it> smile</vi></dt> <dt>:lacking in interest or enthusiasm</dt>
pernicious	<dt>:highly <d_link>injurious</d_link> or destructive :<sx>deadly</sx></dt> <dt>:<sx>wicked</sx></dt>
Petrichor	
Petulance	<dt>:the quality or state of being <fw>petulant</fw> :<sx>peevishness</sx></dt>
petulant	<dt>:<d_link>insolent</d_link> or rude in speech or behavior</dt> <dt>:characterized by temporary or <d_link>capricious</d_link> ill humor :<sx>peevish</sx></dt>
pew	<dt>:a compartment in the auditorium of a church providing seats for several persons</dt> <dt>:one of the benches with backs and sometimes doors fixed in rows in a church</dt>
pewter	<dt>:any of various alloys having tin as chief component</dt> <dt>:a dull alloy with lead formerly used for domestic utensils</dt> <dt>:utensils of pewter</dt> <dt>:a bluish gray</dt>
pickets	<dt>:a pointed or sharpened stake, post, or pale</dt> <dt>:a detached body of soldiers serving to guard an army from surprise</dt>  <dt>:a detachment kept ready in camp for such duty</dt>  <dt>:<sx>sentry</sx></dt> <dt>:a person posted by a labor organization at a place of work affected by a strike</dt> <dt>:a person posted for a demonstration or protest</dt>
pilfer	<dt>:<sx>steal</sx></dt> <dt>:to steal stealthily in small amounts and often again and again</dt><dt>:<sx>steal</sx></dt> <dt>:to steal in small quantities</dt>
pinprick	<dt>:a small puncture made by or as if by a pin</dt> <dt>:a petty irritation or annoyance</dt>
pique	<dt>:a <d_link>transient</d_link> feeling of wounded <d_link>vanity</d_link> :<sx>resentment</sx> <vi>a fit of <it>pique</it></vi></dt>
pitted	<dt>:marked with pits</dt>
plinth	<dt>:the lowest member of a base :<sx>subbase</sx></dt>  <dt>:a block upon which the moldings of an architrave or trim are stopped at the bottom</dt> <dt>:a usually square block serving as a base</dt> <dt>:any of various bases or lower parts</dt> <dt>:a course of stones forming a continuous foundation or base course</dt>
plod	<dt>:to work laboriously and monotonously :<sx>drudge</sx></dt> <dt>:to walk heavily or slowly :<sx>trudge</sx></dt>  <dt>:to proceed slowly or tediously <vi>the movie's plot just <it>plod</it><it>s</it> along</vi></dt><dt>:to tread slowly or heavily along or over</dt>
plump	<dt>:to drop, sink, or come in contact suddenly or heavily <vi><it>plump</it><it>ed</it> down in the chair</vi></dt> <dt>:to favor or decide in favor of someone or something strongly or emphatically <un>used with <it>for</it></un></dt><dt>:to drop, cast, or place suddenly or heavily</dt> <dt>:to give support and favorable publicity to</dt>
po	<dt>by mouth; orally</dt>
pockmarked	<dt>:to cover with or as if with <fw>pockmarks</fw> :<sx>pit</sx></dt>
pommel	<dt>:the knob on the hilt of a sword or saber</dt> <dt>:the protuberance at the front and top of a saddle</dt> <dt>:either of a pair of removable rounded or U-shaped handles used on the top of a pommel horse</dt>
porphyry	<dt>:a rock consisting of feldspar crystals embedded in a compact dark red or purple groundmass</dt> <dt>:an igneous rock of <fw>porphyritic</fw> texture</dt>
